Logradouro,Bairro,Cidade,CEP
Avenida Getúlio Dorneles Vargas - N - até 620 - lado par,Centro,Chapecó/SC,89801-000
Avenida Getúlio Dorneles Vargas - S - até 491 - lado ímpar,Centro,Chapecó/SC,89801-001
Avenida Getúlio Dorneles Vargas - N - de 622 a 1430 - lado par,Centro,Chapecó/SC,89801-002
Rua Doutor Antonio Selistre de Campos - D,Centro,Chapecó/SC,89801-006
Rua Pio XII,Centro,Chapecó/SC,89801-010
Rua Jonas Rauen,Centro,Chapecó/SC,89801-012
Travessa Ilma Rosa de Nes,Centro,Chapecó/SC,89801-014
Rua Minas Gerais - até 349/350,Centro,Chapecó/SC,89801-015
Praça Coronel Bertaso,Centro,Chapecó/SC,89801-016
Avenida Nereu Ramos - E - até 629/630,Centro,Chapecó/SC,89801-020
Avenida Nereu Ramos - E - de 631/632 a 949/950,Centro,Chapecó/SC,89801-021
Avenida Nereu Ramos - E - de 951 a 1451 - lado ímpar,Centro,Chapecó/SC,89801-022
Avenida Nereu Ramos - D - até 489/490,Centro,Chapecó/SC,89801-023
Travessa Brasil,Centro,Chapecó/SC,89801-025
Rua Barão do Rio Branco - D - até 619/620,Centro,Chapecó/SC,89801-030
Travessa Guararapés,Centro,Chapecó/SC,89801-035
Rua Rui Barbosa - E - até 627/628,Centro,Chapecó/SC,89801-040
Rua Rui Barbosa - E - de 631 a 889 - lado ímpar,Centro,Chapecó/SC,89801-041
Rua Rui Barbosa - D - até 319/320,Centro,Chapecó/SC,89801-042
Rua Marechal José B. Bormann - D,Centro,Chapecó/SC,89801-050
Rua Marechal Deodoro da Fonseca - D - até 629/630,Centro,Chapecó/SC,89801-060
Rua Marechal Deodoro da Fonseca - D - de 631/632 a 1219/1220,Maria Goretti,Chapecó/SC,89801-061
Rua Marechal Deodoro da Fonseca - D - de 1221/1222 a 1739/1740,Maria Goretti,Chapecó/SC,89801-063
Rua Benjamin Constant - D - até 629/630,Centro,Chapecó/SC,89801-070
Rua Benjamin Constant - D - de 631/632 a 1209/1210,Maria Goretti,Chapecó/SC,89801-071
Rua Benjamin Constant - D - de 1211/1212 a 1529/1530,Maria Goretti,Chapecó/SC,89801-072
Rua Quintino Bocaiúva - D - até 329/330,Centro,Chapecó/SC,89801-080
Rua Guaporé - D - até 199/200,Centro,Chapecó/SC,89801-085
Rua Guaporé - D - de 202 a 328 - lado par,Centro,Chapecó/SC,89801-087
Rua Guaporé - D - de 330/331 a 629/630,Presidente Médici,Chapecó/SC,89801-100
Rua Guaporé - D - de 631/632 a 1201/1202,Presidente Médici,Chapecó/SC,89801-101
Rua Guaporé - D - de 1203/1204 a 1453/1454,Presidente Médici,Chapecó/SC,89801-102
Avenida Nereu Ramos - E - de 952 a 1452 - lado par,Presidente Médici,Chapecó/SC,89801-106
Rua Guaporé - D - de 201 a 329 - lado ímpar,Presidente Médici,Chapecó/SC,89801-108
Rua Helmudt Carlos Maier,Presidente Médici,Chapecó/SC,89801-109
Rua Palermo,Presidente Médici,Chapecó/SC,89801-110
Rua Quintino Bocaiúva - D - de 331/332 ao fim,Presidente Médici,Chapecó/SC,89801-112
Rua Gênova,Presidente Médici,Chapecó/SC,89801-115
Rua Veneza,Presidente Médici,Chapecó/SC,89801-120
Rua Porto,Presidente Médici,Chapecó/SC,89801-125
Rua Condá - E - até 689 - lado ímpar,Centro,Chapecó/SC,89801-130
Rua Condá - E - de 691/692 a 1499/1500,Presidente Médici,Chapecó/SC,89801-131
Rua Condá - D - até 339/340,Centro,Chapecó/SC,89801-132
Rua Júlio Cesar,Centro,Chapecó/SC,89801-134
Rua Thomas Edson,Centro,Chapecó/SC,89801-136
Rua Sete de Setembro - D - até 189/190,Centro,Chapecó/SC,89801-140
Rua Sete de Setembro - D - de 631/632 a 1229/1230,Presidente Médici,Chapecó/SC,89801-141
Rua Sete de Setembro - D - de 1231/1232 a 1569/1570,Presidente Médici,Chapecó/SC,89801-142
Rua Sete de Setembro - D - de 191/192 a 629/630,Presidente Médici,Chapecó/SC,89801-145
Rua Rui Barbosa - E - de 630 a 890 - lado par,Presidente Médici,Chapecó/SC,89801-147
Rua Rui Barbosa - E - de 890/891 a 1479/1480,Presidente Médici,Chapecó/SC,89801-148
Rua Granada,Presidente Médici,Chapecó/SC,89801-150
Rua Borges de Medeiros - E - de 681/682 a 1499/1500,Presidente Médici,Chapecó/SC,89801-161
Rua Borges de Medeiros - D - até 109/110,Centro,Chapecó/SC,89801-162
Rua Polônia,Presidente Médici,Chapecó/SC,89801-180
Rua Minas Gerais - de 351/352 a 1179/1180,Presidente Médici,Chapecó/SC,89801-200
Rua Rio de Janeiro - D - até 199/200,Centro,Chapecó/SC,89801-210
Rua Rio de Janeiro - D - de 631/632 a 1199/1200,Presidente Médici,Chapecó/SC,89801-211
Rua Rio de Janeiro - D - de 1201/1202 a 1579/1580,Presidente Médici,Chapecó/SC,89801-212
Rua Rio de Janeiro - D - de 201/202 a 629/630,Presidente Médici,Chapecó/SC,89801-213
Travessa Milão,Presidente Médici,Chapecó/SC,89801-215
Travessa Capri,Presidente Médici,Chapecó/SC,89801-217
Rua Assis Brasil - E - de 647/648 a 1489/1490,Presidente Médici,Chapecó/SC,89801-221
Rua Assis Brasil - D - até 329/330,Centro,Chapecó/SC,89801-222
Rua São João - D - até 199/200,Centro,Chapecó/SC,89801-230
Rua São João - D - de 631/632 a 1179/1180,Presidente Médici,Chapecó/SC,89801-231
Rua São João - D - de 1181/1182 a 1559/1560,Presidente Médici,Chapecó/SC,89801-232
Rua São João - D - de 201/202 a 629/630,Presidente Médici,Chapecó/SC,89801-233
Servidão Piedade,Presidente Médici,Chapecó/SC,89801-235
Rua Oswaldo Aranha - D - até 308 - lado par,Centro,Chapecó/SC,89801-241
Servidão Lapa,Presidente Médici,Chapecó/SC,89801-242
Travessa Colônia,Presidente Médici,Chapecó/SC,89801-244
Travessa Hamburgo,Presidente Médici,Chapecó/SC,89801-246
Travessa Varsóvia,Presidente Médici,Chapecó/SC,89801-248
Rua Quatorze de Agosto - E - de 701/702 a 1469/1470,Presidente Médici,Chapecó/SC,89801-251
Rua Clóvis Locatelli - D - até 298/299,Presidente Médici,Chapecó/SC,89801-260
Rua Londres - de 246/247 ao fim,Presidente Médici,Chapecó/SC,89801-270
Rua Israel - E - de 720/721 a 1499/1500,Presidente Médici,Chapecó/SC,89801-281
Avenida São Pedro - D - até 199/200,Centro,Chapecó/SC,89801-300
Avenida São Pedro - D - de 628 a 1230 - lado par,Presidente Médici,Chapecó/SC,89801-301
Avenida São Pedro - D - de 1232 a 1494 - lado par,Presidente Médici,Chapecó/SC,89801-302
Servidão Turquia,Presidente Médici,Chapecó/SC,89801-303
Avenida São Pedro - D - de 202 a 626 - lado par,Presidente Médici,Chapecó/SC,89801-306
Travessa Tijucas,Presidente Médici,Chapecó/SC,89801-307
Rua Coimbra - até 549/550,Presidente Médici,Chapecó/SC,89801-310
Rua Oswaldo Aranha - E - de 656/657 a 1489/1490,Presidente Médici,Chapecó/SC,89801-315
Rua Irlanda,Presidente Médici,Chapecó/SC,89801-320
Rua São Francisco - E - de 705/706 ao fim,Presidente Médici,Chapecó/SC,89801-328
Rua Montevidéu - E - de 651/652 a 1498/1499,Presidente Médici,Chapecó/SC,89801-331
Rua Curitiba - E,Centro,Chapecó/SC,89801-340
Rua Curitiba - D - até 309/310,Centro,Chapecó/SC,89801-341
Rua João Zani,Maria Goretti,Chapecó/SC,89801-346
Rua Condá - E - até 690 - lado par,Maria Goretti,Chapecó/SC,89801-348
Rua Borges de Medeiros - E - até 679/680,Maria Goretti,Chapecó/SC,89801-350
Rua Assis Brasil - E - até 645/646,Maria Goretti,Chapecó/SC,89801-355
Rua Pará - D - até 596/597,Maria Goretti,Chapecó/SC,89801-400
Rua Pará - D - de 598/599 a 1021/1022,Maria Goretti,Chapecó/SC,89801-402
Rua Pará - D - de 1023 a 1509 - lado ímpar,Maria Goretti,Chapecó/SC,89801-404
Rua Barão do Rio Branco - D - de 621/622 a 1199/1200,Maria Goretti,Chapecó/SC,89801-405
Rua Barão do Rio Branco - D - de 1201/1202 a 1749/1750,Maria Goretti,Chapecó/SC,89801-407
Rua Alexandria,Maria Goretti,Chapecó/SC,89801-410
Rua Quatorze de Agosto - E - até 699/700,Maria Goretti,Chapecó/SC,89801-412
Rua Quatorze de Agosto - D - até 313/314,Maria Goretti,Chapecó/SC,89801-414
Rua Londres - até 244/245,Maria Goretti,Chapecó/SC,89801-416
Rua Marechal Floriano Peixoto - L - de 621 a 1109 - lado ímpar,Maria Goretti,Chapecó/SC,89801-418
Rua Egito,Maria Goretti,Chapecó/SC,89801-420
Rua Oswaldo Aranha - E - até 654/655,Maria Goretti,Chapecó/SC,89801-422
Rua Oswaldo Aranha - D - até 307 - lado ímpar,Maria Goretti,Chapecó/SC,89801-424
Rua Marechal Floriano Peixoto - L - de 1111/1112 a 1734/1735,Maria Goretti,Chapecó/SC,89801-426
Rua Henry Giessembier - E,Maria Goretti,Chapecó/SC,89801-430
Rua das Flores,Maria Goretti,Chapecó/SC,89801-431
Rua Israel - E - até 718/719,Maria Goretti,Chapecó/SC,89801-434
Rua Israel - D - até 319/320,Maria Goretti,Chapecó/SC,89801-436
Rua Austrália - E,Maria Goretti,Chapecó/SC,89801-440
Rua Austrália - D - até 319/320,Maria Goretti,Chapecó/SC,89801-441
Rua Clevelândia - E - de 1121/1122 a 1849/1850,Maria Goretti,Chapecó/SC,89801-445
Rua Uruguai - E - de 1049 a 1841 - lado ímpar,Maria Goretti,Chapecó/SC,89801-447
Travessa Argélia,Maria Goretti,Chapecó/SC,89801-449
Rua São Francisco - E - até 703/704,Maria Goretti,Chapecó/SC,89801-451
Rua São Francisco - D - até 271/272,Maria Goretti,Chapecó/SC,89801-453
Rua Montevidéu - E - até 649/650,Maria Goretti,Chapecó/SC,89801-455
Rua Montevidéu - D - até 269/270,Maria Goretti,Chapecó/SC,89801-457
Rua Itália - E - até 479/480,Maria Goretti,Chapecó/SC,89801-463
Rua Heitor Villa Lobos - E - até 261 - lado ímpar,Maria Goretti,Chapecó/SC,89801-467
Rua Heitor Villa Lobos - E - de 262/263 a 464/465,Maria Goretti,Chapecó/SC,89801-469
Rua Heitor Villa Lobos - D - até 260 - lado par,Maria Goretti,Chapecó/SC,89801-471
Travessa Itá,Maria Goretti,Chapecó/SC,89801-473
Rua Marechal Deodoro da Fonseca - D - de 1742 a 2182 - lado par,Maria Goretti,Chapecó/SC,89801-475
Rua Marechal Cândido Rondon - E - de 271/272 a 469/470,Maria Goretti,Chapecó/SC,89801-477
Rua Arthur João Lara - E - de 271/272 a 467/468,Maria Goretti,Chapecó/SC,89801-479
Rua João Aurélio Turatti - E - de 251/252 a 449/450,Maria Goretti,Chapecó/SC,89801-481
Rua Anselmo Santa Catarina - E - de 301 a 469 - lado ímpar,Maria Goretti,Chapecó/SC,89801-483
Rua Marechal Floriano Peixoto - L - até 619/620,Centro,Chapecó/SC,89801-500
Rua Marechal Floriano Peixoto - L - de 622 a 1110 - lado par,Centro,Chapecó/SC,89801-501
Rua Clevelândia - E - até 619/620,Centro,Chapecó/SC,89801-560
Rua Clevelândia - E - de 621/622 a 1119/1120,Centro,Chapecó/SC,89801-561
Rua Uruguai - E - até 307/308,Centro,Chapecó/SC,89801-570
Rua Uruguai - E - de 309 a 1047 - lado ímpar,Centro,Chapecó/SC,89801-571
Servidão Pilão,Centro,Chapecó/SC,89801-580
Rua Lauro Muller - E - até 332/333,Centro,Chapecó/SC,89801-600
"Avenida Getúlio Dorneles Vargas - N, 870

Edifício Central Parque",Centro,Chapecó/SC,89801-901
"Rua Uruguai - E, 373

Delegacia da Receita Federal",Centro,Chapecó/SC,89801-902
"Rua Rui Barbosa - D, 42

INSS - Instituto Nacional de Seguro Social",Centro,Chapecó/SC,89801-904
"Praça Coronel Bertaso, 154

REATE - 04 Oeste Catarinense",Centro,Chapecó/SC,89801-906
"Praça Coronel Bertaso, 154

CAE 07 - Coordenadoria de Atividades Externas 07",Centro,Chapecó/SC,89801-907
"Praça Coronel Bertaso, 154

CAT 07 - Coordenadoria de Atendimento 07",Centro,Chapecó/SC,89801-908
"Praça Coronel Bertaso, 154 Clique e Retire Correios

AC Chapecó Clique e Retire",Centro,Chapecó/SC,89801-959
"Praça Coronel Bertaso, 154

AC Chapecó",Centro,Chapecó/SC,89801-970
"Rua Rui Barbosa - E, 579

CDD Chapecó",Centro,Chapecó/SC,89801-971
"Rua Rui Barbosa - E, 579

CEM Chapecó",Centro,Chapecó/SC,89801-972
"Rua Rui Barbosa - E, 1277

AGF Desbravador",Presidente Médici,Chapecó/SC,89801-974
Avenida Getúlio Dorneles Vargas - N - até 619 - lado ímpar,Centro,Chapecó/SC,89802-000
Avenida Getúlio Dorneles Vargas - S - até 490 - lado par,Centro,Chapecó/SC,89802-001
Avenida Getúlio Dorneles Vargas - N - de 621 a 1429 - lado ímpar,Centro,Chapecó/SC,89802-002
Rua Doutor Antônio Selistre de Campos - E,Centro,Chapecó/SC,89802-005
Rua Marechal Floriano Peixoto - O - até 459/460,Centro,Chapecó/SC,89802-010
Travessa Derly de Camargo Martins,SAIC,Chapecó/SC,89802-015
Servidão Wilson Marcon (Loteamento Wilson Marcon),SAIC,Chapecó/SC,89802-017
Rua Paul Harris,SAIC,Chapecó/SC,89802-020
Rua Barão do Rio Branco - E - de 1101/1102 ao fim,SAIC,Chapecó/SC,89802-025
Rua Lindolfo de Quadros,SAIC,Chapecó/SC,89802-030
Rua Emílio Zandavalli,SAIC,Chapecó/SC,89802-040
Rua Eucaliptos,SAIC,Chapecó/SC,89802-045
Rua Milton Paulo Munis,SAIC,Chapecó/SC,89802-050
Servidão Ayrton Senna,SAIC,Chapecó/SC,89802-051
Rua Independência - D,Jardim Itália,Chapecó/SC,89802-060
Rua Independência - E - até 459/460,Jardim Itália,Chapecó/SC,89802-061
Rua Bento Gonçalves - D,Jardim Itália,Chapecó/SC,89802-070
Rua Bento Gonçalves - E - até 459/460,Jardim Itália,Chapecó/SC,89802-071
Servidão Olinto João Batista Battiston,Jardim Itália,Chapecó/SC,89802-073
Rua Marechal Floriano Peixoto - O - de 461/462 a 1165/1166,Jardim Itália,Chapecó/SC,89802-075
Rua Coronel Manoel dos Passos Maia - até 384/385,Jardim Itália,Chapecó/SC,89802-080
Servidão Cutia,Jardim Itália,Chapecó/SC,89802-082
Rua Marcolina da Silva - D,SAIC,Chapecó/SC,89802-090
Rua Marcolina da Silva - E,SAIC,Chapecó/SC,89802-091
Rua Barão do Rio Branco - E - até 479/480,Centro,Chapecó/SC,89802-100
Rua Barão do Rio Branco - E - de 481/482 a 1099/1100,Jardim Itália,Chapecó/SC,89802-101
Servidão Neli Pereira Schaidt,Jardim Itália,Chapecó/SC,89802-102
Rua Jorge Lacerda,Centro,Chapecó/SC,89802-105
Avenida Fernando Machado - D - até 619/620,Centro,Chapecó/SC,89802-110
Avenida Fernando Machado - D - de 621/622 a 1429/1430,Centro,Chapecó/SC,89802-111
Avenida Fernando Machado - E - até 489/490,Centro,Chapecó/SC,89802-112
Rua Antônio Morandini - D - até 310 - lado par,Jardim Itália,Chapecó/SC,89802-115
Rua Marechal José B. Bormann - E - até 489/490,Centro,Chapecó/SC,89802-120
Rua Marechal José B. Bormann - E - de 491/492 a 1219/1220,Jardim Itália,Chapecó/SC,89802-121
Rua Marechal José B. Bormann - E - de 1221/1222 ao fim,SAIC,Chapecó/SC,89802-122
Servidão Caju,Centro,Chapecó/SC,89802-128
Avenida Porto Alegre - D - até 619/620,Centro,Chapecó/SC,89802-130
Avenida Porto Alegre - D - de 621/622 a 1439/1440,Centro,Chapecó/SC,89802-131
Avenida Porto Alegre - E - até 489/490,Centro,Chapecó/SC,89802-132
Servidão Vime,Centro,Chapecó/SC,89802-133
Servidão Maracá,Centro,Chapecó/SC,89802-134
Travessa Zara Cardoso,Jardim Itália,Chapecó/SC,89802-136
Rua Marechal Deodoro da Fonseca - E - até 479/480,Centro,Chapecó/SC,89802-140
Rua Marechal Deodoro da Fonseca - E - de 481/482 ao fim,Jardim Itália,Chapecó/SC,89802-141
Travessa Leoberto Leal,Jardim Itália,Chapecó/SC,89802-147
Rua Antônio Sperandio,Jardim Itália,Chapecó/SC,89802-150
Rua Lauro Muller - D - de 1058/1059 ao fim,SAIC,Chapecó/SC,89802-155
Rua Ipiranga,SAIC,Chapecó/SC,89802-157
Acesso Ibirajara Raupp,SAIC,Chapecó/SC,89802-159
Rua Antônio Morandini - D - até 309 - lado ímpar,SAIC,Chapecó/SC,89802-160
Rua Antônio Morandini - D - de 311 ao fim - lado ímpar,SAIC,Chapecó/SC,89802-161
Rua Antônio Morandini - E Par,SAIC,Chapecó/SC,89802-162
Servidão José Fidélis,SAIC,Chapecó/SC,89802-163
Rua Uruguai - D - de 1243/1244 ao fim,SAIC,Chapecó/SC,89802-165
Rua Iguaçu - D,SAIC,Chapecó/SC,89802-170
Rua Iguaçu - E,SAIC,Chapecó/SC,89802-171
Rua João Cândido Marinho - de 322/323 ao fim,SAIC,Chapecó/SC,89802-175
Rua João XXIII - D,SAIC,Chapecó/SC,89802-180
Rua João XXIII - E,SAIC,Chapecó/SC,89802-181
Servidão Raimundo Bervian,SAIC,Chapecó/SC,89802-182
Rua Nicácio Portela Diniz - de 471/472 ao fim,SAIC,Chapecó/SC,89802-185
Rua Marechal Floriano Peixoto - O - de 1167/1168 ao fim,SAIC,Chapecó/SC,89802-190
Rua Coronel Manoel dos Passos Maia - de 386/387 ao fim,SAIC,Chapecó/SC,89802-195
Rua Benjamin Constant - E - até 479/480,Centro,Chapecó/SC,89802-200
Rua Benjamin Constant - E - de 481/482 ao fim,Jardim Itália,Chapecó/SC,89802-201
Avenida General Osório - D - até 480 - lado par,Centro,Chapecó/SC,89802-210
Avenida General Osório - D - de 482 a 670 - lado par,Centro,Chapecó/SC,89802-211
Avenida General Osório - D - de 672 a 1434 - lado par,Centro,Chapecó/SC,89802-212
Avenida General Osório - E - até 481 - lado ímpar,Centro,Chapecó/SC,89802-213
Servidão Caiçara,Centro,Chapecó/SC,89802-214
Servidão Tarumã,Centro,Chapecó/SC,89802-215
Rua Carlos Chagas,Centro,Chapecó/SC,89802-217
Rua Sete de Setembro - E - até 489/490,Centro,Chapecó/SC,89802-220
Rua Rio de Janeiro - E,Centro,Chapecó/SC,89802-230
Rua São João - E,Centro,Chapecó/SC,89802-240
Servidão Tilia,Centro,Chapecó/SC,89802-242
Avenida São Pedro - E - de 201 a 463 - lado ímpar,Centro,Chapecó/SC,89802-243
Avenida São Pedro - E - até 199/200,Centro,Chapecó/SC,89802-245
Rua Quintino Bocaiúva - E - até 498/499,Centro,Chapecó/SC,89802-250
Servidão Anis,Jardim Itália,Chapecó/SC,89802-255
Servidão Azaléia,Jardim Itália,Chapecó/SC,89802-258
Rua Adolfo Konder - até 84/85,Jardim Itália,Chapecó/SC,89802-260
Avenida General Osório - D - de 483 a 669 - lado ímpar,Jardim Itália,Chapecó/SC,89802-261
Travessa Araçá,Jardim Itália,Chapecó/SC,89802-262
Avenida General Osório - D - até 481 - lado ímpar,Jardim Itália,Chapecó/SC,89802-265
Avenida General Osório - E - até 482 - lado par,Jardim Itália,Chapecó/SC,89802-267
Rua Mato Grosso - D - até 329/330,Jardim Itália,Chapecó/SC,89802-270
Rua Mato Grosso - D - de 331/332 a 899/900,Jardim Itália,Chapecó/SC,89802-271
Rua Mato Grosso - E - até 471/472,Jardim Itália,Chapecó/SC,89802-272
Rua Quintino Bocaiúva - E - de 600/601 ao fim,Jardim Itália,Chapecó/SC,89802-275
Rua Sady de Marco,Jardim Itália,Chapecó/SC,89802-280
Rua Guaporé - E - até 489/490,Centro,Chapecó/SC,89802-300
Rua Guaporé - E - de 611/612 ao fim,Jardim Itália,Chapecó/SC,89802-305
Rua Machado de Assis,Jardim Itália,Chapecó/SC,89802-310
Servidão Ingá,Jardim Itália,Chapecó/SC,89802-312
Rua Brasília,Jardim Itália,Chapecó/SC,89802-320
Rua Antônio Morandini - D - de 312 ao fim - lado par,Jardim Itália,Chapecó/SC,89802-325
Rua Monte Castelo,Jardim Itália,Chapecó/SC,89802-330
Travessa Treze de Maio,Jardim Itália,Chapecó/SC,89802-345
Rua Chaim Welczer - de 91/92 ao fim,Jardim Itália,Chapecó/SC,89802-350
Rua Ângelo Emílio Grando,Jardim Itália,Chapecó/SC,89802-360
Rua Diamantina,Jardim Itália,Chapecó/SC,89802-370
Rua Norberto Matte,SAIC,Chapecó/SC,89802-380
Rua Manoel Siqueira Bello,SAIC,Chapecó/SC,89802-385
Rua Coronel Manoel dos Santos Marinho,Jardim Itália,Chapecó/SC,89802-390
Rua Chaim Welczer - até 89/90,SAIC,Chapecó/SC,89802-393
Servidão João Piasson,SAIC,Chapecó/SC,89802-395
Rua Coronel Manoel dos Santos Marinho,SAIC,Chapecó/SC,89802-396
Rua Nicácio Portela Diniz - até 469/470,Jardim Itália,Chapecó/SC,89802-400
Rua Clevelândia - D - de 481/482 a 1072/1073,Jardim Itália,Chapecó/SC,89802-405
Rua Clevelândia - D - até 479/480,Centro,Chapecó/SC,89802-410
Rua Clevelândia - D - de 1074/1075 ao fim,SAIC,Chapecó/SC,89802-411
Rua Duque de Caxias,Centro,Chapecó/SC,89802-420
Rua Comandante Carlos Gonçalves Pinho,Centro,Chapecó/SC,89802-425
Rua João Cândido Marinho - até 320/321,Jardim Itália,Chapecó/SC,89802-430
Rua Uruguai - D - até 508/509,Centro,Chapecó/SC,89802-500
Rua Uruguai - D - de 510/511 a 1241/1242,Jardim Itália,Chapecó/SC,89802-501
Rua Antonio Morandini - E Impar,Jardim Itália,Chapecó/SC,89802-510
Rua Lauro Muller - D - até 508/509,Centro,Chapecó/SC,89802-520
Rua Lauro Muller - D - de 510/511 a 1056/1057,Jardim Itália,Chapecó/SC,89802-521
Rua Francisco Norberto Bonher,Jardim Itália,Chapecó/SC,89802-530
Servidão Osvaldo Pereira,Jardim Itália,Chapecó/SC,89802-532
"Avenida Getúlio Dorneles Vargas - N, 523

Banco do Brasil S/A",Centro,Chapecó/SC,89802-901
"Avenida Getúlio Dorneles Vargas - N, 325

Bradesco - Banco Brasileiro de Descontos S/A",Centro,Chapecó/SC,89802-902
"Avenida Getúlio Dorneles Vargas - S, 171

Casa Canônica - Mitra Diocesana",Centro,Chapecó/SC,89802-903
"Rua Jorge Lacerda, 73

Vara do Trabalho",Centro,Chapecó/SC,89802-904
"Rua Uruguai - D, 244 Sala 01

Ambulatório Oeste Catarinense",Centro,Chapecó/SC,89802-905
"Rua Rui Barbosa - E, 1277 Clique e Retire Correios

AGF Desbravador Clique e Retire",Presidente Médici,Chapecó/SC,89802-959
Avenida Fernando Machado - D - de 1431 a 2525 - lado ímpar,São Cristóvão,Chapecó/SC,89803-000
Avenida Fernando Machado - D - de 1470 a 1820 - lado par,Centro,Chapecó/SC,89803-003
Rua Paulo Marques - E - até 179/180,Centro,Chapecó/SC,89803-010
Rua Vitório Cella - E - até 179/180,Centro,Chapecó/SC,89803-020
Rua Dom Pedro Fernandes Sardinha,Centro,Chapecó/SC,89803-030
Rua Sicília - E,Centro,Chapecó/SC,89803-035
Avenida General Osório - D - de 671 a 1435 - lado ímpar,São Cristóvão,Chapecó/SC,89803-042
Avenida General Osório - D - de 1436/1437 ao fim,São Cristóvão,Chapecó/SC,89803-044
Rua Adolfo Konder - de 86/87 ao fim,São Cristóvão,Chapecó/SC,89803-046
Rua Gonçalves Dias - de 161/162 ao fim,São Cristóvão,Chapecó/SC,89803-050
Avenida Porto Alegre - D - de 1441/1442 ao fim,São Cristóvão,Chapecó/SC,89803-057
Avenida São Pedro - E - de 202 a 464 - lado par,São Cristóvão,Chapecó/SC,89803-062
Avenida São Pedro - E - de 465/466 a 809/810,São Cristóvão,Chapecó/SC,89803-064
Rua Guaporé - E - de 491/492 a 609/610,São Cristóvão,Chapecó/SC,89803-067
Rua Fagundes Varela,São Cristóvão,Chapecó/SC,89803-080
Rua Castro Alves - E - de 396/397 a 859/860,São Cristóvão,Chapecó/SC,89803-108
Rua Castro Alves - E - até 394/395,São Cristóvão,Chapecó/SC,89803-110
Rua Castro Alves - E - de 861/862 a 1299/1300,São Cristóvão,Chapecó/SC,89803-111
Rua Dom João VI - até 399/400,São Cristóvão,Chapecó/SC,89803-140
Rua Dom João VI - de 401/402 a 879/880,São Cristóvão,Chapecó/SC,89803-141
Rua Cristo Redentor - até 422/423,São Cristóvão,Chapecó/SC,89803-150
Rua Cristo Redentor - de 424/425 ao fim,São Cristóvão,Chapecó/SC,89803-151
Rua Brochado da Rocha,São Cristóvão,Chapecó/SC,89803-160
Rua Arthur da Costa e Silva - E - até 499/500,São Cristóvão,Chapecó/SC,89803-180
Rua Arthur da Costa e Silva - E - de 501/502 ao fim,São Cristóvão,Chapecó/SC,89803-181
Rua Eurico Gaspar Dutra - E - até 599/600,São Cristóvão,Chapecó/SC,89803-200
Rua Eurico Gaspar Dutra - E - de 601/602 ao fim,São Cristóvão,Chapecó/SC,89803-201
Avenida Coronel Licínio de Córdova - até 656/657,São Cristóvão,Chapecó/SC,89803-210
Avenida Coronel Licínio de Córdova - de 658/659 ao fim,São Cristóvão,Chapecó/SC,89803-211
Rua Arthur Bernardes,São Cristóvão,Chapecó/SC,89803-214
Rua Dom Pedro II,São Cristóvão,Chapecó/SC,89803-216
Rua Dom Pedro I - até 970/971,São Cristóvão,Chapecó/SC,89803-220
Rua Dom Pedro I - de 972/973 ao fim,São Cristóvão,Chapecó/SC,89803-221
Rua Bom Senso,São Cristóvão,Chapecó/SC,89803-222
Rua Carlos Favaretto,São Cristóvão,Chapecó/SC,89803-224
Rua Conde D'Eu,São Cristóvão,Chapecó/SC,89803-260
Rua Coronel Ernesto Francisco Bertaso - até 516/517,São Cristóvão,Chapecó/SC,89803-270
Rua Carlos Gomes - E - de 776/777 a 1159/1160,São Cristóvão,Chapecó/SC,89803-310
Rua Carlos Gomes - E - de 1161/1162 a 1819/1820,São Cristóvão,Chapecó/SC,89803-312
Rua Alberto Santos Dumont - E - de 871/872 a 1274/1275,São Cristóvão,Chapecó/SC,89803-350
Rua Alberto Santos Dumont - E - de 1276/1277 ao fim,São Cristóvão,Chapecó/SC,89803-351
Rua das Orquídeas - até 99999 - lado ímpar,São Cristóvão,Chapecó/SC,89803-370
Avenida São Pedro - E - de 811/812 a 1339/1340,São Cristóvão,Chapecó/SC,89803-400
Avenida São Pedro - E - de 2099 a 3057 - lado ímpar,Parque das Palmeiras,Chapecó/SC,89803-401
Avenida São Pedro - E - de 1342 a 2096 - lado par,São Cristóvão,Chapecó/SC,89803-402
Avenida São Pedro - E - de 1341 a 2097 - lado ímpar,Jardim América,Chapecó/SC,89803-404
Rua Marquês de Caravelas - Ìmpar,Jardim América,Chapecó/SC,89803-406
Rua Coronel Ernesto Francisco Bertaso - de 518/519 ao fim,Jardim América,Chapecó/SC,89803-408
Rua Regente Lima e Silva,Jardim América,Chapecó/SC,89803-410
Rua Menna Barreto - de 331/332 ao fim,Jardim América,Chapecó/SC,89803-415
Rua José Bonifácio,Jardim América,Chapecó/SC,89803-420
Rua Castro Alves - E - de 1301/1302 a 2003/2004,Jardim América,Chapecó/SC,89803-422
Rua Castro Alves - E - de 2005/2006 a 2289/2290,Jardim América,Chapecó/SC,89803-424
Rua Olavo Bilac - E - de 1631/1632 a 2277/2278,Jardim América,Chapecó/SC,89803-426
Rua Olavo Bilac - E - de 2279/2280 a 2543/2544,Jardim América,Chapecó/SC,89803-428
Rua Vital Brasil,Jardim América,Chapecó/SC,89803-430
Rua Martinho Lutero - E - de 1651/1652 a 2338/2339,Jardim América,Chapecó/SC,89803-432
